ticker,company_name,Current Market Value,Closing Price,Total Volume,% Chg in Price,Net Sales,FE Growth Sales Mean CY 1CY Roll Over -1AW,EBITDA Margin,Net Inc Before Extra & Disc Op,Free Cash Flow,Total Debt% Equity,Price / Earns Ratio,Entrpr Value/ EBITDA,Price /Sales CFY,Number of Insider Purchases (last year),EPS Report Date,FE Price_Tgt Mean ,Option Volume,Put/Call Ratio,Option Open interest,Theor. Imp Vol,Industry,Short Interest,3y BETA Rel to Loc Idx,Local Price 52 Week Low,Local Price 52 Week High,Average Daily Volume,Entrpr Value/ Sales,EV/FCF,1y - Compound Tot Ret,2y - Compound Tot Ret,5y - Compound Tot Ret,10y - Compound Tot Ret,IV Rank,IV Max - 1y,IV Min -1y,Exchng Ticker,Net Sales - 0y ago,Net Sales - 1y ago,Net Sales - 2y ago,Net Sales - 3y ago,Net Sales - 5y ago,Net Sales - 10y ago
FTI,TechnipFMC plc,"27,087.8",67.9,4.9,1.6,"9,931.7",-0.1,17.9,963.9,"1,447.4",39.9,19.4,10.2,1.9,0.0,20260219,75.8,"5,110.0",0.0,"29,390.0",39.8,Oilfield Services/Equipment,2.6,0.4,31.4,77.8,4.9,1.9,13.2,114.4,180.4,572.3,,66.1,0.5,0.3,FTI-USA,"9,931.7","9,081.3","7,813.3","6,694.4","6,607.4",
EXPE,"Expedia Group, Inc.","27,054.2",225.4,1.6,0.8,"14,733.0",0.0,19.4,"1,294.0","3,110.0",504.4,28.9,13.1,2.5,0.0,20260212,283.8,"1,824.0",2.2,"69,844.0",46.2,Other Consumer Services,6.0,1.3,160.0,303.8,1.6,2.6,12.2,34.7,100.0,33.6,115.7,42.7,0.7,0.3,EXPE-USA,"14,733.0","13,691.0","12,839.0","11,667.0","5,199.0","6,672.3"
KHC,Kraft Heinz Company,"26,988.4",22.8,18.2,-1.3,"24,942.0",0.0,22.8,"-5,846.0","3,661.0",52.3,,8.1,1.1,4.0,20260211,22.3,"87,602.0",0.1,"422,412.0",27.8,Food: Major Diversified,7.2,0.1,21.0,29.2,18.2,1.9,12.8,-11.1,-27.7,-35.0,-58.4,67.6,0.4,0.2,KHC-USA,"24,942.0","25,846.0","26,640.0","26,484.0","26,184.0","18,340.0"
P,"Everpure, Inc. Class A","26,851.3",80.8,3.9,-2.9,"3,603.2",0.0,6.8,168.9,613.7,15.5,126.8,84.2,6.5,0.0,20260225,93.7,"3,159.0",0.2,"139,863.0",66.7,Computer Peripherals,3.3,2.0,50.2,100.6,3.9,6.1,36.7,47.3,35.2,335.3,590.9,72.7,0.8,0.4,P-USA,"3,662.8","3,168.2","2,830.6","2,753.4","1,684.2",440.3
PPL,PPL Corporation,"26,347.3",35.0,13.8,0.4,"9,042.0",0.0,39.4,"1,179.0","-1,401.0",130.0,22.1,12.4,2.9,0.0,20260220,41.7,"12,252.0",0.1,"56,309.0",23.3,Electric Utilities,5.2,0.2,33.2,40.1,13.8,4.9,-31.6,4.7,27.6,45.1,38.5,100.0,0.3,0.2,PPL-USA,"9,042.0","8,462.0","8,312.0","7,902.0","5,474.0","7,669.0"
FE,FirstEnergy Corp.,"26,341.8",45.5,7.1,0.2,"15,090.0",0.0,29.1,"1,020.0","-1,005.0",214.6,25.4,12.2,1.7,0.0,20260217,52.6,"1,374.0",6.5,"74,471.0",21.6,Electric Utilities,3.9,0.1,39.3,52.3,7.1,3.6,-53.8,14.9,22.9,45.1,103.9,97.2,0.3,0.2,FE-USA,"15,090.0","13,472.0","12,870.0","12,459.0","10,790.0","14,865.0"
CFG,"Citizens Financial Group, Inc.","26,019.9",61.5,3.3,3.9,"12,068.0",0.0,,"1,831.0","2,037.0",46.8,15.1,,2.1,0.0,20260121,73.0,"2,084.0",1.0,"35,307.0",,Major Banks,3.4,1.4,39.7,68.8,3.3,2.3,13.4,55.6,90.3,50.7,286.6,63.4,0.4,0.3,CFG-USA,"12,068.0","12,291.0","12,192.0","9,304.0","7,718.0","5,253.0"
ILMN,"Illumina, Inc.","25,861.7",170.9,3.1,-1.7,"4,338.0",-0.0,26.1,850.0,931.0,93.8,24.8,18.9,4.9,0.0,20260205,144.4,"1,698.0",0.2,"21,650.0",43.8,Medical Specialties,5.0,1.4,81.8,172.5,3.1,5.1,23.6,108.9,70.1,-56.5,20.8,37.6,0.6,0.4,ILMN-USA,"4,338.0","4,357.0","4,504.0","4,584.0","3,239.0","2,219.8"
TEAM,Atlassian Corp Class A,"25,765.0",101.5,5.0,-0.0,"5,759.9",0.0,-0.1,-189.2,"1,415.5",76.4,,,10.2,0.0,20250807,126.4,"13,439.0",0.5,"206,256.0",77.7,Packaged Software,11.9,1.5,56.0,222.6,5.0,9.9,36.4,-51.9,-36.3,-54.1,320.4,60.0,1.0,0.5,TEAM-USA,"5,215.3","4,358.6","3,534.6","2,802.9","1,614.2",319.5
DOW,"Dow, Inc.","25,514.2",35.4,10.7,-1.7,"39,968.0",0.0,7.9,"-2,634.0","-1,447.0",122.4,,10.2,0.4,0.0,20260129,42.8,"15,389.0",0.1,"591,820.0",47.4,Chemicals: Specialty,3.1,-0.2,20.4,42.7,10.7,0.8,-23.1,34.0,-28.7,-34.2,,44.8,0.6,0.4,DOW-USA,"39,968.0","42,964.0","44,622.0","56,902.0","38,542.0",
